,,mean,mean,std,std
,,acc,loss,acc,loss
lung-cancer,beta,0.943789473684,0.174341452105,0.061463026753,0.352519193141
lung-cancer,beta_ab,0.670842105263,0.407808022608,0.124372857205,0.0972670535313
lung-cancer,beta_am,0.944842105263,0.173144695913,0.0619741374576,0.349937493683
lung-cancer,isotonic,0.941789473684,0.312923009316,0.0663672587678,0.708486318965
lung-cancer,sigmoid,0.890789473684,0.181334442093,0.0740673062456,0.0977187458252
mfeat-karhunen,None,0.9966,0.0178299098812,0.00352686482732,0.0121044496486
mfeat-karhunen,beta,0.99635,0.0172127197913,0.00378672493248,0.0174324843258
mfeat-karhunen,beta_ab,0.9966,0.0160461000203,0.00352686482732,0.0163364843762
mfeat-karhunen,beta_am,0.9964,0.0181292414523,0.00357713829301,0.019306522623
mfeat-karhunen,isotonic,0.9964,0.0402842832079,0.00364775580994,0.0672160006346
mfeat-karhunen,sigmoid,0.9966,0.0169449847465,0.00356284683238,0.0149261547384
mfeat-morphological,None,0.9985,0.0127253214593,0.00195615199109,0.0146408441081
mfeat-morphological,beta,0.9982,0.0151454325811,0.00202282889407,0.0280988203742
mfeat-morphological,beta_ab,0.9985,0.0146739218417,0.00195615199109,0.0286002876652
mfeat-morphological,beta_am,0.9982,0.0153979523653,0.00202282889407,0.0291754282517
mfeat-morphological,isotonic,0.99825,0.0162230506297,0.00248721219235,0.0391463625902
mfeat-morphological,sigmoid,0.99795,0.0142084822434,0.00275208640704,0.0165018840047
mfeat-zernike,None,0.9935,0.0218610773132,0.00331200660553,0.0151965715686
mfeat-zernike,beta,0.9935,0.0239469918056,0.00342559394522,0.0165589766635
mfeat-zernike,beta_ab,0.9935,0.0236311456301,0.00331200660553,0.0171077591826
mfeat-zernike,beta_am,0.9935,0.0228826136022,0.00331200660553,0.0167490600923
mfeat-zernike,isotonic,0.9937,0.0585348136947,0.00343451865148,0.0703317682109
mfeat-zernike,sigmoid,0.9936,0.0262065360936,0.00343154632842,0.0143514507864
mushroom,None,1.0,0.00179392514794,0.0,0.000405088019837
mushroom,beta,1.0,5.60087427529e-05,0.0,5.8067394611e-05
mushroom,beta_ab,1.0,4.48179399806e-05,0.0,4.28921863979e-05
mushroom,beta_am,1.0,5.207064399e-05,0.0,5.01349975687e-05
mushroom,isotonic,1.0,4.71295279935e-05,0.0,7.36060311294e-05
mushroom,sigmoid,1.0,1.38526504787e-05,0.0,6.24386931548e-06
optdigits,None,0.995052768164,0.0166335716002,0.0020970418546,0.0114972131494
optdigits,beta,0.995409198822,0.0171960788087,0.0020654444411,0.0123868699481
optdigits,beta_ab,0.995052768164,0.0173331819943,0.0020970418546,0.0118425101487
optdigits,beta_am,0.995159532127,0.0168732908279,0.00201767702892,0.0121555852108
optdigits,isotonic,0.995266927881,0.0263045372784,0.00199551392857,0.0244779799246
optdigits,sigmoid,0.995052927406,0.0195404928334,0.0020499575885,0.00755179312728
page-blocks,None,0.970565456575,0.0889165593288,0.00525201047973,0.0162801590506
page-blocks,beta,0.970382690877,0.0848868391443,0.00523959306757,0.0151701381276
page-blocks,beta_ab,0.970565456575,0.0860478424569,0.00525201047973,0.0146666713752
page-blocks,beta_am,0.970346144257,0.0887180249948,0.00524526766796,0.0155603239759
