,,mean,mean,std,std
,,acc,loss,acc,loss
credit-approval,sigmoid,0.880092297016,0.309713987308,0.0273799921395,0.0516795698778
dermatology,None,0.999714285714,0.0362687579214,0.0020203050891,0.00773246833334
dermatology,beta,0.998595238095,0.00414474835049,0.00425752435624,0.00496567937022
dermatology,beta_ab,0.999714285714,0.00332442232456,0.0020203050891,0.00365681982954
dermatology,beta_am,0.99830952381,0.00418199979035,0.00462482898555,0.00505977877838
dermatology,isotonic,0.998873015873,0.00531800192924,0.0038610061957,0.00485172404227
dermatology,sigmoid,0.998873015873,0.00298087997146,0.0038610061957,0.00443255403789
diabetes,None,0.76522875817,0.478862975234,0.0305548979271,0.028123779443
diabetes,beta,0.764446990918,0.481048977914,0.0309950463808,0.0285207575505
diabetes,beta_ab,0.764317120788,0.480511045553,0.0313684226905,0.0278754105492
diabetes,beta_am,0.766008827774,0.479508834791,0.0322350832293,0.0280986870421
diabetes,isotonic,0.761319073084,0.538437501741,0.0274757124607,0.127498656419
diabetes,sigmoid,0.766140395552,0.483887316632,0.031719159384,0.0299920082204
ecoli,None,0.963547311642,0.147444123854,0.0247828370141,0.0936357594836
ecoli,beta,0.962014322891,0.135634905449,0.0257402168892,0.0937751604191
ecoli,beta_ab,0.962936849297,0.13726533594,0.0252151132458,0.0995729174818
ecoli,beta_am,0.962053709419,0.155153019639,0.0247765313999,0.122716660936
ecoli,isotonic,0.961724328655,0.319488626432,0.0231605237915,0.452623678476
ecoli,sigmoid,0.961759591772,0.133440878446,0.0236813650285,0.0807811385151
flare,None,0.815611689694,0.495727830167,0.013017818734,0.106640692198
flare,beta,0.81951077424,0.419766245107,0.012219407896,0.0212461281004
flare,beta_ab,0.814603397226,0.419433458392,0.0126749132107,0.0218329130288
flare,beta_am,0.816407995385,0.442420824303,0.0107843672255,0.0242000506718
flare,isotonic,0.821094930686,0.424502922931,0.0106895053978,0.0271657890512
flare,sigmoid,0.811436692429,0.423621947624,0.0133933491584,0.0223423640136
german,None,0.7657,0.491472325149,0.0211652873298,0.0201686948915
german,beta,0.7676,0.487737243623,0.0210742128911,0.0240775508706
german,beta_ab,0.7663,0.488577175312,0.0215901054435,0.0233929028592
german,beta_am,0.7678,0.48754482694,0.0209021041808,0.0241776558208
german,isotonic,0.7635,0.533414212038,0.0221370960247,0.119986129566
german,sigmoid,0.7675,0.487343800819,0.0208798799746,0.0234605546873
glass,None,0.829953370918,0.401587624319,0.0495676895605,0.0556593093999
glass,beta,0.834867764019,0.388978949784,0.0523238868216,0.0717690647426
glass,beta_ab,0.835979563073,0.392013420264,0.0471163957226,0.0709352065782
glass,beta_am,0.835316789154,0.389397682161,0.0543796271275,0.0690683882252
glass,isotonic,0.82837252928,0.485383449767,0.0586657800164,0.32215111942
glass,sigmoid,0.832965418303,0.395362201059,0.0531734497575,0.0760332225685
heart-statlog,None,0.835925925926,0.402179947093,0.0533067141936,0.0532071251426
heart-statlog,beta,0.831481481481,0.394408627757,0.0505076272276,0.072709053304
heart-statlog,beta_ab,0.831851851852,0.393814113439,0.0560996286294,0.0721346491866
heart-statlog,beta_am,0.832222222222,0.390732830224,0.0521653947465,0.0691175899367
heart-statlog,isotonic,0.833333333333,0.619915245706,0.0567397105543,0.447438067264
heart-statlog,sigmoid,0.831851851852,0.390634427937,0.0524903992603,0.069312488897
hepatitis,None,0.843454301075,0.346075585153,0.0527181217164,0.0673212361107
hepatitis,beta,0.835057795699,0.358220243275,0.0558803111661,0.0795117302774
hepatitis,beta_ab,0.827932795699,0.362801436099,0.0473352582526,0.0709463707529
hepatitis,beta_am,0.838327956989,0.354548429827,0.055386778345,0.0758084833323
