,,mean,mean,std,std
,,acc,loss,acc,loss
credit-approval,sigmoid,0.861554031211,0.351622738562,0.0310946556102,0.061880566861
dermatology,None,0.998895967396,0.283520724127,0.00378306797708,0.00894488105665
dermatology,beta,0.997507078507,0.00466080212175,0.00537565611852,0.01032518555
dermatology,beta_ab,0.998895967396,0.00223739981189,0.00378306797708,0.00636486491825
dermatology,beta_am,0.997507078507,0.00466678281964,0.00537565611852,0.0103176677781
dermatology,isotonic,0.997507078507,0.00426874247334,0.00537565611852,0.00568951095786
dermatology,sigmoid,0.997507078507,0.00455686621184,0.00537565611852,0.0102713738046
diabetes,None,0.759110432052,0.509124568697,0.0272980822272,0.0204252357147
diabetes,beta,0.757290552585,0.48808344415,0.0302940606387,0.0315248916136
diabetes,beta_ab,0.759110432052,0.490003420816,0.0272980822272,0.0296287808628
diabetes,beta_am,0.75754944402,0.491671280688,0.0282333889006,0.0318848019334
diabetes,isotonic,0.76040913335,0.572884274645,0.0291991249805,0.14233864586
diabetes,sigmoid,0.757941600883,0.494934154951,0.0287056786624,0.0323595402307
ecoli,None,0.972169015776,0.259417691736,0.023063822156,0.0279700963664
ecoli,beta,0.96804981869,0.12629301741,0.0260354093949,0.103899564861
ecoli,beta_ab,0.972169015776,0.12832739692,0.023063822156,0.104099688724
ecoli,beta_am,0.966502704762,0.127313440093,0.0254515510919,0.107900908419
ecoli,isotonic,0.965968253362,0.355960241706,0.0252712120106,0.504218067258
ecoli,sigmoid,0.96738544521,0.120475325354,0.0246160947849,0.094805360593
flare,None,0.822818610141,0.485984186901,0.0114400989118,0.0115241834789
flare,beta,0.821374755884,0.447457470157,0.0125992798691,0.0192144873267
flare,beta_ab,0.822818610141,0.446513318853,0.0114400989118,0.0180917032534
flare,beta_am,0.820516762323,0.44881526849,0.0129370982864,0.0194848300921
flare,isotonic,0.821738616507,0.481567991348,0.0120912391677,0.0424640648126
flare,sigmoid,0.820516762323,0.44861894355,0.0129370982864,0.0195086442705
german,None,0.7632,0.5157417668,0.0198144453593,0.0147706041652
german,beta,0.7629,0.498053439191,0.02097350126,0.0261477679617
german,beta_ab,0.7632,0.498638993672,0.0198144453593,0.0256158885718
german,beta_am,0.7628,0.497235085449,0.0203078350216,0.0253863090875
german,isotonic,0.7619,0.558252219904,0.0202507243509,0.110808278536
german,sigmoid,0.7627,0.498309355546,0.0203843177017,0.0244905799986
glass,None,0.767527769388,0.533465699981,0.0581576347561,0.0455433685874
glass,beta,0.763142488003,0.519331570219,0.0615498324133,0.0926497825991
glass,beta_ab,0.75986976073,0.527953335013,0.059605927576,0.0818052638711
glass,beta_am,0.764066730427,0.519972070663,0.0646486786184,0.0868138485703
glass,isotonic,0.763440937615,0.847777918639,0.0646617295778,0.652508129438
glass,sigmoid,0.763612184973,0.518847957212,0.0646736030389,0.0856474174793
heart-statlog,None,0.835185185185,0.452373035068,0.0483845004184,0.0386412652277
heart-statlog,beta,0.834444444444,0.402165673217,0.0469395970877,0.0841909566915
heart-statlog,beta_ab,0.835185185185,0.401420114179,0.0483845004184,0.0827447996209
heart-statlog,beta_am,0.837037037037,0.399819178933,0.0474718477379,0.079582330083
heart-statlog,isotonic,0.831851851852,0.820473550215,0.0490439374656,0.598049267379
heart-statlog,sigmoid,0.836666666667,0.39864656196,0.0477203507993,0.0787148784888
hepatitis,None,0.846805107527,0.458634207517,0.047288362604,0.0342427481664
hepatitis,beta,0.835307795699,0.404937252603,0.054845832175,0.113623359366
hepatitis,beta_ab,0.82963844086,0.41481117592,0.0401655161194,0.0925877264732
hepatitis,beta_am,0.837827956989,0.401863767472,0.0544054692568,0.109884605097
