,,mean,mean,std,std
,,acc,loss,acc,loss
ionosphere,beta_am,0.874977867203,0.330095779604,0.0370101637622,0.0632172732737
ionosphere,isotonic,0.874957746479,0.443508558047,0.0365212658353,0.280291315405
ionosphere,sigmoid,0.873557344064,0.321621974125,0.0373540802629,0.0590347624327
iris,None,1.0,0.0285913564626,0.0,0.00565898720151
iris,beta,1.0,0.000594643340494,0.0,0.00127195831437
iris,beta_ab,1.0,0.000154479954081,0.0,0.000340949780838
iris,beta_am,1.0,0.000413669415314,0.0,0.000898223362472
iris,isotonic,1.0,0.00285184668308,0.0,0.00444696971009
iris,sigmoid,1.0,7.1029134453e-05,0.0,0.000145987019834
landsat-satellite,None,0.98707194968,0.0407826393599,0.0031730063365,0.00743369719565
landsat-satellite,beta,0.987009765187,0.0409561809223,0.00318958138834,0.00809264545691
landsat-satellite,beta_ab,0.98707194968,0.040877742382,0.0031730063365,0.0080496073083
landsat-satellite,beta_am,0.987118569858,0.0407723173329,0.00317017212249,0.00797145899242
landsat-satellite,isotonic,0.986792047163,0.0500333114785,0.0033303377196,0.0174056858303
landsat-satellite,sigmoid,0.98694752033,0.0485711315781,0.00308773065877,0.0105814935713
letter,None,0.976974241193,0.0695253996014,0.00115631499404,0.00299407678491
letter,beta,0.977074238036,0.0694361082488,0.00110153259266,0.00315889871138
letter,beta_ab,0.976974241193,0.0694613251287,0.00115631499404,0.0031035867677
letter,beta_am,0.977068516822,0.0694938817743,0.00110614688684,0.00315993377187
letter,isotonic,0.977354383356,0.0712304384268,0.00120462048964,0.00491434327323
letter,sigmoid,0.977328640095,0.0795801105079,0.00122894442007,0.00382511623466
libras-movement,None,0.981666666667,0.0993704763079,0.0125672792575,0.0662972756966
libras-movement,beta,0.9806,0.116374322408,0.0134971232343,0.152035886595
libras-movement,beta_ab,0.981666666667,0.117002922666,0.0125672792575,0.124666516917
libras-movement,beta_am,0.980333333333,0.116474299267,0.013506528194,0.116646135293
libras-movement,isotonic,0.9812,0.205048924246,0.0132096302396,0.297875459005
libras-movement,sigmoid,0.980666666667,0.0831967352531,0.013784871263,0.0553454502901
lung-cancer,None,0.253157894737,6.61092962289,0.0732436576639,1.21145147459
lung-cancer,beta,0.845105263158,0.473024470501,0.0741526653942,1.34000686695
lung-cancer,beta_ab,0.753578947368,0.670971599017,0.100269240127,0.0641793074732
lung-cancer,beta_am,0.854578947368,0.51925605554,0.0679272647083,1.33619569139
lung-cancer,isotonic,0.834631578947,0.682543017874,0.0774241891119,1.60224791526
lung-cancer,sigmoid,0.843631578947,0.256598168626,0.0774930311679,0.0635068761411
mfeat-karhunen,None,0.99085,0.0331232396418,0.00405982054494,0.0108712917849
mfeat-karhunen,beta,0.99175,0.029339493594,0.00443921531952,0.0168645841492
mfeat-karhunen,beta_ab,0.99085,0.0310876018279,0.00405982054494,0.016635926437
mfeat-karhunen,beta_am,0.99165,0.0304671500149,0.00424414362411,0.0184231605271
mfeat-karhunen,isotonic,0.992,0.0636420193706,0.00407205508964,0.0727294595431
mfeat-karhunen,sigmoid,0.9918,0.0309851401869,0.00416619044898,0.0172193490977
mfeat-morphological,None,0.9985,0.0176069532329,0.00195615199109,0.00888691998034
mfeat-morphological,beta,0.9985,0.0125930616491,0.00195615199109,0.0201498799122
mfeat-morphological,beta_ab,0.9985,0.0126283662102,0.00195615199109,0.0198798343948
